key,text
cantoList.SV-22[0].trRows[0].tdColumns[0].row,row1
cantoList.SV-22[0].trRows[0].tdColumns[0].className,number
cantoList.SV-22[0].trRows[0].tdColumns[0].data,"<a htext=""html/SV-I/SV-22/22.jpg""  target=""_blank"" onmouseout=""UnTip()"" onmouseover=""Tip('<center><img src=html/SV-I/SV-22/22.jpg></center>',FONTSIZE,'18pt',HEIGHT,400,STICKY,true,CLOSEBTN,true) "">22.A</a>"
cantoList.SV-22[0].trRows[0].tdColumns[0].tooltipImage,html/SV-I/SV-22/22.jpg
cantoList.SV-22[0].trRows[0].tdColumns[1].row,row1
cantoList.SV-22[0].trRows[0].tdColumns[1].className,n3
cantoList.SV-22[0].trRows[0].tdColumns[1].data,प्रफुल्ल-तापिच्छ-निभैः
cantoList.SV-22[0].trRows[0].tdColumns[1].tooltipText,‘फले लुक्’ (4।3।163) इति तद्धितलुक् ।
cantoList.SV-22[0].trRows[1].tdColumns[0].row,row2
cantoList.SV-22[0].trRows[1].tdColumns[0].className,number
cantoList.SV-22[0].trRows[1].tdColumns[0].data,22.B</a>
cantoList.SV-22[0].trRows[1].tdColumns[1].row,row2
cantoList.SV-22[0].trRows[1].tdColumns[1].className,n3
cantoList.SV-22[0].trRows[1].tdColumns[1].data,प्रफुल्ल-तापिच्छ-निभैः 
cantoList.SV-22[0].trRows[2].tdColumns[0].row,row3
cantoList.SV-22[0].trRows[2].tdColumns[0].className,number
cantoList.SV-22[0].trRows[2].tdColumns[0].data,22.C</a>
cantoList.SV-22[0].trRows[2].tdColumns[1].row,row3
cantoList.SV-22[0].trRows[2].tdColumns[1].className,n3
cantoList.SV-22[0].trRows[2].tdColumns[1].data,प्रफुल्ल-तापिच्छ-निभ{पुं}{3;बहु}/निभ{नपुं}{3;बहु} 
cantoList.SV-22[0].trRows[3].tdColumns[0].row,row4
cantoList.SV-22[0].trRows[3].tdColumns[0].className,number
cantoList.SV-22[0].trRows[3].tdColumns[0].data,22.D</a>
cantoList.SV-22[0].trRows[3].tdColumns[1].row,row4
cantoList.SV-22[0].trRows[3].tdColumns[1].className,n3
cantoList.SV-22[0].trRows[3].tdColumns[1].data,<a (click)=showDic('प्रफुल्ल')>प्रफुल्ल</a>-<a (click)=showDic('तापिच्छ')>तापिच्छ</a>-<a (click)=showDic('निभ')>निभ</a>{पुं}{3;बहु} 
cantoList.SV-22[0].trRows[4].tdColumns[0].row,row5
cantoList.SV-22[0].trRows[4].tdColumns[0].className,number
cantoList.SV-22[0].trRows[4].tdColumns[0].data,22.E</a>
cantoList.SV-22[0].trRows[4].tdColumns[1].row,row5
cantoList.SV-22[0].trRows[4].tdColumns[1].className,n3
cantoList.SV-22[0].trRows[4].tdColumns[1].data,"समुच्चितम्,4"
cantoList.SV-22[0].trRows[5].tdColumns[0].row,row6
cantoList.SV-22[0].trRows[5].tdColumns[0].className,number
cantoList.SV-22[0].trRows[5].tdColumns[0].data,22.F</a>
cantoList.SV-22[0].trRows[5].tdColumns[1].row,row6
cantoList.SV-22[0].trRows[5].tdColumns[1].className,n3
cantoList.SV-22[0].trRows[5].tdColumns[1].data,खिले हुए तमाल के समान
cantoList.SV-22[0].trRows[6].tdColumns[0].row,row7
cantoList.SV-22[0].trRows[6].tdColumns[0].className,number
cantoList.SV-22[0].trRows[6].tdColumns[0].data,22.G</a>
cantoList.SV-22[0].trRows[6].tdColumns[1].row,row7
cantoList.SV-22[0].trRows[6].tdColumns[1].className,n3
cantoList.SV-22[0].trRows[6].tdColumns[1].data,resembling the full blown Tamāla flowers
cantoList.SV-22[0].trRows[7].tdColumns[0].row,row8
cantoList.SV-22[0].trRows[7].tdColumns[0].className,number
cantoList.SV-22[0].trRows[7].tdColumns[0].data,22.H
cantoList.SV-22[0].trRows[7].tdColumns[0].tooltipImage,row8
cantoList.SV-22[0].trRows[7].tdColumns[1].row,row8
cantoList.SV-22[0].trRows[7].tdColumns[1].className,n3
cantoList.SV-22[0].trRows[7].tdColumns[1].data,"<a htext=""html/SV-I/SV-22/samaasa1.jpg""   target=""_blank"" onmouseout=""UnTip()"" onmouseover=""Tip('<center><img src=html/SV-I/SV-22/samaasa1.jpg></center>',FONTSIZE,'18pt',HEIGHT,300,STICKY,true,CLOSEBTN,true) ""><<प्रफुल्ल<तापिच्छ-पुष्प>T6-K1>-निभः>K4</a>"
cantoList.SV-22[0].trRows[7].tdColumns[1].tooltipImage,html/SV-I/SV-22/samaasa1.jpg
cantoList.SV-22[0].trRows[8].tdColumns[0].row,row9
cantoList.SV-22[0].trRows[8].tdColumns[0].className,number
cantoList.SV-22[0].trRows[8].tdColumns[0].data,22.I</a>
cantoList.SV-22[0].trRows[8].tdColumns[1].row,row9
cantoList.SV-22[0].trRows[8].tdColumns[1].className,n3
cantoList.SV-22[0].trRows[9].tdColumns[0].row,row10
cantoList.SV-22[0].trRows[9].tdColumns[0].className,number
cantoList.SV-22[0].trRows[9].tdColumns[0].data,22.J</a>
cantoList.SV-22[0].trRows[9].tdColumns[1].row,row10
cantoList.SV-22[0].trRows[9].tdColumns[1].className,n3
cantoList.SV-22[0].trRows[10].tdColumns[0].row,row11
cantoList.SV-22[0].trRows[10].tdColumns[0].className,number
cantoList.SV-22[0].trRows[10].tdColumns[0].data,22.K</a>
cantoList.SV-22[0].trRows[10].tdColumns[1].row,row11
cantoList.SV-22[0].trRows[10].tdColumns[1].className,n3
cantoList.SV-22[0].trRows[11].tdColumns[0].row,row12
cantoList.SV-22[0].trRows[11].tdColumns[0].className,number
cantoList.SV-22[0].trRows[11].tdColumns[0].data,22.L</a>
cantoList.SV-22[0].trRows[11].tdColumns[1].row,row12
cantoList.SV-22[0].trRows[11].tdColumns[1].className,n3
cantoList.SV-22[0].trRows[11].tdColumns[1].data,‘फले लुक्’ (4।3।163) इति तद्धितलुक् ।
cantoList.SV-22[1].trRows[0].tdColumns[0].row,row1
cantoList.SV-22[1].trRows[0].tdColumns[0].className,n3
cantoList.SV-22[1].trRows[0].tdColumns[0].data,सप्त-च्छदपांशु-पाण्डुभिः
cantoList.SV-22[1].trRows[1].tdColumns[0].row,row2
cantoList.SV-22[1].trRows[1].tdColumns[0].className,n3
cantoList.SV-22[1].trRows[1].tdColumns[0].data,सप्त-च्छदपांशु-पाण्डुभिः 
cantoList.SV-22[1].trRows[2].tdColumns[0].row,row3
cantoList.SV-22[1].trRows[2].tdColumns[0].className,n3
cantoList.SV-22[1].trRows[2].tdColumns[0].data,सप्त-च्छदपांशु-पाण्डु{पुं}{3;बहु}/पाण्डु{स्त्री}{3;बहु} 
cantoList.SV-22[1].trRows[3].tdColumns[0].row,row4
cantoList.SV-22[1].trRows[3].tdColumns[0].className,n3
cantoList.SV-22[1].trRows[3].tdColumns[0].data,<a (click)=showDic('सप्त')>सप्त</a>-<a (click)=showDic('च्छदपांशु')>च्छदपांशु</a>-<a (click)=showDic('पाण्डु')>पाण्डु</a>{पुं}{3;बहु} 
cantoList.SV-22[1].trRows[4].tdColumns[0].row,row5
cantoList.SV-22[1].trRows[4].tdColumns[0].className,n3
cantoList.SV-22[1].trRows[4].tdColumns[0].data,"<a href=""javascript:show('समुच्चितम्,')"">समुच्चितम्,4</a>"
cantoList.SV-22[1].trRows[5].tdColumns[0].row,row6
cantoList.SV-22[1].trRows[5].tdColumns[0].className,n3
cantoList.SV-22[1].trRows[5].tdColumns[0].data,छितवन के पराग के समान श्वेत
cantoList.SV-22[1].trRows[6].tdColumns[0].row,row7
cantoList.SV-22[1].trRows[6].tdColumns[0].className,n3
cantoList.SV-22[1].trRows[6].tdColumns[0].data,white like the pollen of the Saptaparņa flowers
cantoList.SV-22[1].trRows[7].tdColumns[0].row,row8
cantoList.SV-22[1].trRows[7].tdColumns[0].className,n3
cantoList.SV-22[1].trRows[7].tdColumns[0].data,"<a htext=""html/SV-I/SV-22/samaasa2.jpg""   target=""_blank"" onmouseout=""UnTip()"" onmouseover=""Tip('<center><img src=html/SV-I/SV-22/samaasa2.jpg></center>',FONTSIZE,'18pt',HEIGHT,300,STICKY,true,CLOSEBTN,true) ""><<सप्तच्छद-पांशु>T6-पाण्डुः>K4</a>"
cantoList.SV-22[1].trRows[7].tdColumns[0].tooltipImage,html/SV-I/SV-22/samaasa2.jpg
cantoList.SV-22[1].trRows[8].tdColumns[0].row,row9
cantoList.SV-22[1].trRows[8].tdColumns[0].className,n3
cantoList.SV-22[1].trRows[9].tdColumns[0].row,row12
cantoList.SV-22[1].trRows[9].tdColumns[0].className,n3
cantoList.SV-22[2].trRows[0].tdColumns[0].row,row1
cantoList.SV-22[2].trRows[0].tdColumns[0].className,n3
cantoList.SV-22[2].trRows[0].tdColumns[0].data,शुभैः
cantoList.SV-22[2].trRows[1].tdColumns[0].row,row2
cantoList.SV-22[2].trRows[1].tdColumns[0].className,n3
cantoList.SV-22[2].trRows[1].tdColumns[0].data,शुभैः 
cantoList.SV-22[2].trRows[2].tdColumns[0].row,row3
cantoList.SV-22[2].trRows[2].tdColumns[0].className,n3
cantoList.SV-22[2].trRows[2].tdColumns[0].data,शुभ{पुं}{3;बहु}/शुभ{नपुं}{3;बहु} 
cantoList.SV-22[2].trRows[3].tdColumns[0].row,row4
cantoList.SV-22[2].trRows[3].tdColumns[0].className,n3
cantoList.SV-22[2].trRows[3].tdColumns[0].data,<a (click)=showDic('शुभ')>शुभ</a>{पुं}{3;बहु} 
cantoList.SV-22[2].trRows[4].tdColumns[0].row,row5
cantoList.SV-22[2].trRows[4].tdColumns[0].className,n3
cantoList.SV-22[2].trRows[4].tdColumns[0].data,"<a href=""javascript:show('विशेषणम्,')"">विशेषणम्,3</a>"
cantoList.SV-22[2].trRows[5].tdColumns[0].row,row6
cantoList.SV-22[2].trRows[5].tdColumns[0].className,n3
cantoList.SV-22[2].trRows[5].tdColumns[0].data,मांगलिक_से 
cantoList.SV-22[2].trRows[6].tdColumns[0].row,row7
cantoList.SV-22[2].trRows[6].tdColumns[0].className,n3
cantoList.SV-22[2].trRows[6].tdColumns[0].data,with auspicious
cantoList.SV-22[2].trRows[7].tdColumns[0].row,row8
cantoList.SV-22[2].trRows[7].tdColumns[0].className,n3
cantoList.SV-22[2].trRows[7].tdColumns[0].data,-
cantoList.SV-22[2].trRows[8].tdColumns[0].row,row9
cantoList.SV-22[2].trRows[8].tdColumns[0].className,n3
cantoList.SV-22[2].trRows[9].tdColumns[0].row,row12
cantoList.SV-22[2].trRows[9].tdColumns[0].className,n3
cantoList.SV-22[3].trRows[0].tdColumns[0].row,row1
cantoList.SV-22[3].trRows[0].tdColumns[0].className,NA
cantoList.SV-22[3].trRows[0].tdColumns[0].data,च
cantoList.SV-22[3].trRows[1].tdColumns[0].row,row2
cantoList.SV-22[3].trRows[1].tdColumns[0].className,NA
cantoList.SV-22[3].trRows[1].tdColumns[0].data,च 
cantoList.SV-22[3].trRows[2].tdColumns[0].row,row3
cantoList.SV-22[3].trRows[2].tdColumns[0].className,NA
cantoList.SV-22[3].trRows[2].tdColumns[0].data,च{अव्य} 
cantoList.SV-22[3].trRows[3].tdColumns[0].row,row4
cantoList.SV-22[3].trRows[3].tdColumns[0].className,NA
cantoList.SV-22[3].trRows[3].tdColumns[0].data,<a (click)=showDic('च')>च</a>{अव्य} 
cantoList.SV-22[3].trRows[4].tdColumns[0].row,row5
cantoList.SV-22[3].trRows[4].tdColumns[0].className,NA
cantoList.SV-22[3].trRows[4].tdColumns[0].data,"<a href=""javascript:show('समुच्चितविशेषणम्,')"">समुच्चितविशेषणम्,5</a>"
cantoList.SV-22[3].trRows[5].tdColumns[0].row,row6
cantoList.SV-22[3].trRows[5].tdColumns[0].className,NA
cantoList.SV-22[3].trRows[5].tdColumns[0].data,और 
cantoList.SV-22[3].trRows[6].tdColumns[0].row,row7
cantoList.SV-22[3].trRows[6].tdColumns[0].className,NA
cantoList.SV-22[3].trRows[6].tdColumns[0].data,and
cantoList.SV-22[3].trRows[7].tdColumns[0].row,row8
cantoList.SV-22[3].trRows[7].tdColumns[0].className,NA
cantoList.SV-22[3].trRows[7].tdColumns[0].data,-
cantoList.SV-22[3].trRows[8].tdColumns[0].row,row9
cantoList.SV-22[3].trRows[8].tdColumns[0].className,NA
cantoList.SV-22[3].trRows[9].tdColumns[0].row,row12
cantoList.SV-22[3].trRows[9].tdColumns[0].className,NA
cantoList.SV-22[4].trRows[0].tdColumns[0].row,row1
cantoList.SV-22[4].trRows[0].tdColumns[0].className,n3
cantoList.SV-22[4].trRows[0].tdColumns[0].data,अभीषुभिः
cantoList.SV-22[4].trRows[1].tdColumns[0].row,row2
cantoList.SV-22[4].trRows[1].tdColumns[0].className,n3
cantoList.SV-22[4].trRows[1].tdColumns[0].data,अभीषुभिः 
cantoList.SV-22[4].trRows[2].tdColumns[0].row,row3
cantoList.SV-22[4].trRows[2].tdColumns[0].className,n3
cantoList.SV-22[4].trRows[2].tdColumns[0].data,अभीषु{पुं}{3;बहु} 
cantoList.SV-22[4].trRows[3].tdColumns[0].row,row4
cantoList.SV-22[4].trRows[3].tdColumns[0].className,n3
cantoList.SV-22[4].trRows[3].tdColumns[0].data,<a (click)=showDic('अभीषु')>अभीषु</a>{पुं}{3;बहु} 
cantoList.SV-22[4].trRows[4].tdColumns[0].row,row5
cantoList.SV-22[4].trRows[4].tdColumns[0].className,n3
cantoList.SV-22[4].trRows[4].tdColumns[0].data,"<a href=""javascript:show('करणम्,')"">करणम्,12</a>"
cantoList.SV-22[4].trRows[5].tdColumns[0].row,row6
cantoList.SV-22[4].trRows[5].tdColumns[0].className,n3
cantoList.SV-22[4].trRows[5].tdColumns[0].data,किरणों_से 
cantoList.SV-22[4].trRows[6].tdColumns[0].row,row7
cantoList.SV-22[4].trRows[6].tdColumns[0].className,n3
cantoList.SV-22[4].trRows[6].tdColumns[0].data,by the rays
cantoList.SV-22[4].trRows[7].tdColumns[0].row,row8
cantoList.SV-22[4].trRows[7].tdColumns[0].className,n3
cantoList.SV-22[4].trRows[7].tdColumns[0].data,-
cantoList.SV-22[4].trRows[8].tdColumns[0].row,row9
cantoList.SV-22[4].trRows[8].tdColumns[0].className,n3
cantoList.SV-22[4].trRows[9].tdColumns[0].row,row12
cantoList.SV-22[4].trRows[9].tdColumns[0].className,n3
cantoList.SV-22[5].trRows[0].tdColumns[0].row,row1
cantoList.SV-22[5].trRows[0].tdColumns[0].className,n3
cantoList.SV-22[5].trRows[0].tdColumns[0].data,परस्परेण
cantoList.SV-22[5].trRows[1].tdColumns[0].row,row2
cantoList.SV-22[5].trRows[1].tdColumns[0].className,n3
cantoList.SV-22[5].trRows[1].tdColumns[0].data,परस्परेण 
cantoList.SV-22[5].trRows[2].tdColumns[0].row,row3
cantoList.SV-22[5].trRows[2].tdColumns[0].className,n3
