chpatno,slokano,sentno,Word,Sandhied Word,Hindi Meaning,English Meaning
01,001,1,,(-),मैं,-
01,001,1,,वागर्थप्रतिपत्तये,वाणी और अर्थ के सिद्धी_के_लिये,-
01,001,1,,वागर्थाविव,वाणी और अर्थ के जैसे,-
01,001,1,,सम्पृक्तौ,मिले_हुए,-
01,001,1,,जगतः,विश्व_के,-
01,001,1,,पितरौ,माता और पिता,-
01,001,1,,पार्वतीपरमेश्वरौ,पार्वती और शिव को,-
01,001,1,,वन्दे,वंदन_करता_हूँ,-
01,002,1,,क्व,कहाँ,-
01,002,1,,सूर्यप्रभवो,सूर्य-मूल,-
01,002,1,,वंशः,वंश,-
01,002,1,,(-),है,-
01,002,2,,क्व,कहाँ,-
01,002,2,,चाल्पविषया,भी,-
01,002,2,,-,अल्पविषया,-
01,002,2,,(-),मेरी,-
01,002,2,,मतिः,बुद्धि,-
01,002,2,,(-),है,-
01,002,3,,(-),मैं,-
01,002,3,,मोहादुडुपेनास्मि,मोह_के_कारण,-
01,002,3,,-,बेडे_से,-
01,002,3,,-,जिसका_पार_करना_कठिन_हो_ऐसा,-
01,002,3,,सागरम्,सागर,-
01,002,3,,तितीर्षुर्दुस्तरं,तरने_के_लिए_इच्छुक,-
01,002,3,,(-),हूँ,-
01,003,1,,(-),मैं,-
01,003,1,,मन्दः,मन्द,-
01,003,1,,(-),हूँ,-
01,003,1,,(-),फिर_भी,-
01,003,1,,कवियशःप्रार्थी,कवीश्वरों_का_यश_चाहनेवाला ,-
01,003,1,,(-),मैं,-
01,003,1,,प्रांशुलभ्ये,लंबे_(पुरूष)_के_हाथ_लगने_योग्य,-
01,003,1,,फले,फल_की_ओर,-
01,003,1,,लोभादुद्बाहुरिव,लोभ_से,-
01,003,1,,-,बोने,-
01,003,1,,वामनः,वामन,-
01,003,1,,-,जैसे,-
01,003,1,,-,उपहास्यता_को,-
01,003,1,,गमिष्याम्युपहास्यताम्,प्राप्त_होऊँगा,-
01,004,1,,अथ,अब ,-
01,004,1,,वा,वा,-
01,004,1,,-,पूर्व-विद्वानों_से,-
01,004,1,,कृतवाग्द्वारे ,कहे गये बातों के द्वारे ,-
01,004,1,,-,इस,-
01,004,1,,वंशेऽस्मिन्पूर्वसूरिभिः,वंश_में,-
01,004,1,,वज्रसमुत्कीर्णे,वज्र-समान-उत्-छितराया_हुए,-
01,004,1,,मणौ,मणि_में,-
01,004,1,,सूत्रस्येवास्ति,सूत्र_के,-
01,004,1,,-,जैसे,-
01,004,1,,मे,मेरी,-
01,004,1,,गतिः,गति,-
01,004,1,,(-),है,-
01,005,1,,सोहमाजन्मशुद्धानामामफलोदयकर्मणाम्,ऐसा मैं,-
01,005,1,,-,जन्म_से_लेकर_शुद्धों_का,-
01,005,1,,-,फल_प्राप्त_होने_तक_कर्म_करनेवालों_का,-
01,005,1,,आसमुद्रक्षितीशानामानाकरथवर्त्मनाम्,समुद्र_तक_पृथिवी_के_अधिकारियों_का,-
01,005,1,,-,स्वर्ग_तक_रथ_के_मार्ग_वालों_का,-
01,005,1,,(-),(ऐसे)_रघुओं_के,-
01,005,1,,(-),वंश_का,-
01,005,1,,(-),वर्णन_करता_हूँ,-
01,006,1,,(-),मैं,-
01,006,1,,यथाविधिहुताग्नीनां,विधिपूर्वक_यज्ञों_में_आहुती_देने_वालों_का,-
